score=51 penalty=0 mana=26 stamina=25 cooldown=0 com/tihyo/legends/utils/AttributeHelper.class
score=46 penalty=0 mana=3 stamina=2 cooldown=41 com/tihyo/legends/data/player/LegendsPlayer.class
score=35 penalty=0 mana=1 stamina=0 cooldown=34 com/tihyo/legends/abilities/passives/CombatantPassiveAbility.class
score=31 penalty=0 mana=12 stamina=11 cooldown=8 com/tihyo/legends/abilities/LegendsAbilities.class
score=30 penalty=0 mana=0 stamina=0 cooldown=30 com/tihyo/legends/entities/living/ShadowEidolonEntity.class
score=28 penalty=0 mana=0 stamina=0 cooldown=28 com/tihyo/legends/data/player/ILegendsPlayer.class
score=28 penalty=0 mana=1 stamina=6 cooldown=21 com/tihyo/legends/items/katana/KatanaCombatHelper.class
score=24 penalty=0 mana=0 stamina=0 cooldown=24 com/tihyo/legends/items/katana/KatanaCombatState.class
score=21 penalty=0 mana=7 stamina=4 cooldown=10 com/tihyo/legends/abilities/assignable/LegendsAssignableAbility.class
score=20 penalty=0 mana=10 stamina=10 cooldown=0 com/tihyo/legends/network/server/ServerPacketClaimMasterySelection.class
score=16 penalty=0 mana=8 stamina=8 cooldown=0 com/tihyo/legends/data/attributes/PlayerAttributes.class
score=15 penalty=0 mana=0 stamina=0 cooldown=15 com/tihyo/legends/abilities/passives/AerobaticFlightAbility.class
score=15 penalty=0 mana=10 stamina=5 cooldown=0 com/tihyo/legends/events/LegendsEvents.class
score=14 penalty=0 mana=7 stamina=7 cooldown=0 com/tihyo/legends/data/attributes/AttributesEvent.class
score=14 penalty=0 mana=1 stamina=0 cooldown=13 com/tihyo/legends/data/living/LegendsLivingEntity.class
score=13 penalty=0 mana=13 stamina=0 cooldown=0 com/tihyo/legends/LegendsMod.class
score=13 penalty=0 mana=0 stamina=0 cooldown=13 com/tihyo/legends/entities/missions/MissionBoss.class
score=10 penalty=0 mana=0 stamina=4 cooldown=6 com/tihyo/legends/abilities/passives/AcrobaticsAbility.class
score=8 penalty=0 mana=4 stamina=0 cooldown=4 com/tihyo/legends/abilities/assignable/LegendsWeaponWheelAbility.class
score=8 penalty=0 mana=7 stamina=1 cooldown=0 com/tihyo/legends/armors/LegendsSuit.class
score=8 penalty=0 mana=6 stamina=0 cooldown=2 com/tihyo/legends/data/ability/AbilityCapability.class
score=8 penalty=0 mana=4 stamina=4 cooldown=0 com/tihyo/legends/mastery/MasteryData.class
score=8 penalty=0 mana=4 stamina=4 cooldown=0 com/tihyo/legends/utils/MasteryUtil.class
score=7 penalty=0 mana=0 stamina=0 cooldown=7 com/tihyo/legends/abilities/passives/GlidingAbility.class
score=7 penalty=0 mana=0 stamina=0 cooldown=7 com/tihyo/legends/entities/living/FracturedEchoEntity.class
score=7 penalty=0 mana=0 stamina=2 cooldown=5 com/tihyo/legends/mastery/perks/CombatMasteryPerk.class
score=7 penalty=0 mana=7 stamina=0 cooldown=0 com/tihyo/legends/missions/LegendsMissionManager.class
score=7 penalty=0 mana=7 stamina=0 cooldown=0 com/tihyo/legends/utils/server/commands/MissionCommand.class
score=6 penalty=0 mana=3 stamina=0 cooldown=3 com/tihyo/legends/abilities/assignable/mana/HeatVisionAbility.class
score=6 penalty=0 mana=3 stamina=0 cooldown=3 com/tihyo/legends/abilities/assignable/mana/LightningBlastAbility.class
score=6 penalty=0 mana=3 stamina=1 cooldown=2 com/tihyo/legends/abilities/assignable/mana/StormStrikerAbility.class
score=6 penalty=0 mana=2 stamina=2 cooldown=2 com/tihyo/legends/abilities/assignable/stamina/HeightenedPerceptionAbility.class
score=6 penalty=0 mana=2 stamina=2 cooldown=2 com/tihyo/legends/abilities/assignable/stamina/HeightenedPerceptionClassicAbility.class
score=6 penalty=0 mana=0 stamina=0 cooldown=6 com/tihyo/legends/data/living/ILegendsLiving.class
score=5 penalty=0 mana=2 stamina=0 cooldown=3 com/tihyo/legends/abilities/assignable/mana/FreezeBreathAbility.class
score=5 penalty=0 mana=2 stamina=0 cooldown=3 com/tihyo/legends/abilities/assignable/mana/GustBreathAbility.class
score=5 penalty=0 mana=2 stamina=0 cooldown=3 com/tihyo/legends/abilities/assignable/mana/HeatGlareAbility.class
score=5 penalty=0 mana=3 stamina=0 cooldown=2 com/tihyo/legends/abilities/assignable/mana/LobotomizeAbility.class
score=5 penalty=0 mana=0 stamina=2 cooldown=3 com/tihyo/legends/abilities/assignable/stamina/MultiStrikeAbility.class
score=5 penalty=0 mana=0 stamina=0 cooldown=5 com/tihyo/legends/blocks/entity/NexusBlockEntity.class
score=5 penalty=0 mana=5 stamina=0 cooldown=0 com/tihyo/legends/network/server/ServerPacketMissionAction.class
score=4 penalty=0 mana=2 stamina=2 cooldown=0 com/tihyo/legends/abilities/AbilityCategory.class
score=4 penalty=0 mana=3 stamina=0 cooldown=1 com/tihyo/legends/abilities/assignable/ExtendedSoundClipAbility.class
score=4 penalty=0 mana=0 stamina=0 cooldown=4 com/tihyo/legends/abilities/assignable/IAbilityData.class
score=4 penalty=0 mana=2 stamina=0 cooldown=2 com/tihyo/legends/abilities/assignable/mana/ThunderclapAbility.class
score=4 penalty=0 mana=0 stamina=2 cooldown=2 com/tihyo/legends/abilities/assignable/stamina/FlyingKickAbility.class
score=4 penalty=0 mana=0 stamina=2 cooldown=2 com/tihyo/legends/abilities/assignable/stamina/FlyingSpinKickAbility.class
